ori,agency_name,city,state,agency_type
AL0430200,Opelika Police Department,opelika,AL,City
AL0430100,Auburn Police Department,auburn,AL,City
AL0070300,West Blocton Police Department,west blocton,AL,City
AL0070200,Brent Police Department,brent,AL,City
AL0070100,Centreville Police Department,centreville,AL,City
AL0170100,Ashland Police Department,ashland,AL,City
AL0170200,Lineville Police Department,lineville,AL,City
AL0260900,Clayhatchee Police Department,clayhatchee,AL,City
AL0260100,Ozark Police Department,ozark,AL,City
AL0260200,Daleville Police Department,daleville,AL,City
AL0260300,Level Plains Police Department,level plains,AL,City
AL0260400,Napier Field Police Department,napier field,AL,City
AL0260500,Newton Police Department,newton,AL,City
AL0260600,Midland City Police Department,midland city,AL,City
AL0260700,Pinckard Police Department,pinckard,AL,City
AL0360100,Greensboro Police Department,greensboro,AL,City
AL0550100,Troy Police Department,troy,AL,City
AL0550200,Brundidge Police Department,brundidge,AL,City
AL0220100,Goodwater Police Department,goodwater,AL,City
AL0220200,Rockford Police Department,rockford,AL,City
AL0370300,Newville Police Department,newville,AL,City
AL0370100,Abbeville Police Department,abbeville,AL,City
AL0370200,Headland Police Department,headland,AL,City
AL0400400,Millport Police Department,millport,AL,City
AL0400200,Vernon Police Department,vernon,AL,City
AL0400100,Sulligent Police Department,sulligent,AL,City
AL0460100,Tuskegee Police Department,tuskegee,AL,City
AL0460600,Shorter Police Department,shorter,AL,City
AL0460400,Franklin Police Department,franklin,AL,City
AL0530200,Uniontown Police Department,uniontown,AL,City
AL0530100,Marion Police Department,marion,AL,City
AL0080100,Oneonta Police Department,oneonta,AL,City
AL0080200,Blountsville Police Department,blountsville,AL,City
AL0080300,Cleveland Police Department,cleveland,AL,City
AL0080400,Snead Police Department,snead,AL,City
AL0080500,Highland Lake Police Department,highland lake,AL,City
AL0080600,Susan Moore Police Department,susan moore,AL,City
AL0080800,Hayden Police Department,hayden,AL,City
AL0100100,Greenville Police Department,greenville,AL,City
AL0100200,Georgiana Police Department,georgiana,AL,City
AL0160200,Thomasville Police Department,thomasville,AL,City
AL0160100,Jackson Police Department,jackson,AL,City
AL0160300,Grove Hill Police Department,grove hill,AL,City
AL0160400,Fulton Police Department,fulton,AL,City
AL0160600,Coffeeville Police Department,coffeeville,AL,City
AL0190300,New Brockton Police Department,new brockton,AL,City
AL0190400,Kinston Police Department,kinston,AL,City
AL0190100,Elba Police Department,elba,AL,City
AL0270100,Selma Police Department,selma,AL,City
AL0280800,Hammondville Police Department,hammondville,AL,City
AL0280700,Rainsville Police Department,rainsville,AL,City
AL0280600,Mentone Police Department,mentone,AL,City
AL0280500,Powell Police Department,powell,AL,City
AL0280400,Henagar Police Department,henagar,AL,City
AL0280300,Geraldine Police Department,geraldine,AL,City
AL0281300,Valley Head Police Department,valley head,AL,City
AL0281200,Sylvania Police Department,sylvania,AL,City
AL0281100,Fyffe Police Department,fyffe,AL,City
AL0281000,Crossville Police Department,crossville,AL,City
AL0280100,Fort Payne Police Department,fort payne,AL,City
AL0281400,Ider Police Department,ider,AL,City
AL0290300,Eclectic Police Department,eclectic,AL,City
AL0290400,Coosada Police Department,coosada,AL,City
AL0290100,Wetumpka Police Department,wetumpka,AL,City
AL0310500,Rainbow City Police Department,rainbow city,AL,City
AL0311000,Walnut Grove Police Department,walnut grove,AL,City
